,medalist_name,Event,Medal,Gender
79022,Caryn Davies,rowing,gold,female
79064,Christiane Huth,rowing,silver,female
79085,Constanța Burcică,rowing,bronze,female
79136,Debbie Flood,rowing,silver,female
79167,Doina Ignat,rowing,bronze,female
79195,Ekaterina Karsten,rowing,bronze,female
79201,Elena Georgescu,rowing,bronze,female
79207,Elise Laverick,rowing,bronze,female
79211,Elle Logan,rowing,gold,female
79234,Enikő Barabás,rowing,bronze,female
79241,Erin Cafaro,rowing,gold,female
79246,Ester Workel,rowing,silver,female
79269,Femke Dekker,rowing,silver,female
79283,Frances Houghton,rowing,silver,female
79302,Gao Yulan,rowing,silver,female
79307,Georgeta Damian,rowing,gold,female
79308,Georgina Evers-Swindell,rowing,gold,female
79383,Helen Tanger,rowing,silver,female
79441,Ioana Papuc,rowing,bronze,female
79519,Jin Ziwei,rowing,gold,female
79581,Katherine Grainger,rowing,silver,female
79582,Kathrin Boron,rowing,bronze,female
79630,Kirsten van der Kolk,rowing,gold,female
79713,Lindsay Shoop,rowing,gold,female
79783,Manuela Lutze,rowing,bronze,female
79818,Marit van Eupen,rowing,gold,female
79828,Marlies Smulders,rowing,silver,female
79835,Mary Whipple,rowing,gold,female
79875,Melanie Kok,rowing,bronze,female
79900,Michelle Guerette,rowing,silver,female
79921,Minna Nieminen,rowing,silver,female
79962,Natallia Helakh,rowing,bronze,female
79988,Nienke Kingma,rowing,silver,female
80167,Rodica Șerban,rowing,bronze,female
80176,Roline Repelaer van Driel,rowing,silver,female
80195,Rumyana Neykova,rowing,gold,female
80222,Sanna Stén,rowing,silver,female
80230,Sarah Siegelaar,rowing,silver,female
80279,Simona Mușat,rowing,bronze,female
80314,Stephanie Schiller,rowing,bronze,female
80332,Susan Francia,rowing,gold,female
80358,Tang Bin,rowing,gold,female
80425,Tracy Cameron,rowing,bronze,female
80466,Viorica Susanu,rowing,gold,female
80504,Wu You,rowing,silver,female
80508,Xi Aihua,rowing,gold,female
80569,Yuliya Bichyk,rowing,bronze,female
80590,Zhang Yangyang,rowing,gold,female
80714,Anders Ekström,sailing,bronze,male
80735,Andrew Simpson,sailing,gold,male
80779,Antón Paz,sailing,gold,male
80816,Ben Ainslie,sailing,gold,male
80865,Bruno Prada,sailing,silver,male
80886,Carlos Espínola,sailing,bronze,male
80988,Darren Bundock,sailing,silver,male
81031,Diego Romero,sailing,bronze,male
81150,Fernando Echávarri,sailing,gold,male
81167,Fredrik Lööf,sailing,bronze,male
81208,Glenn Ashby,sailing,silver,male
81219,Guillaume Florent,sailing,bronze,male
81242,Hannes Peckolt,sailing,bronze,male
81291,Iain Percy,sailing,gold,male
81298,Iker Martínez de Lizarduy,sailing,silver,male
81348,Jan-Peter Peckolt,sailing,bronze,male
81398,Joe Glanfield,sailing,silver,male
81402,Jonas Warrer,sailing,gold,male
81427,Julien Bontemps,sailing,silver,male
81652,Malcolm Page,sailing,gold,male
81706,Martin Kirketerp,sailing,gold,male
81845,Nathan Wilmot,sailing,gold,male
81852,Nick Rogers,sailing,silver,male
81855,Nicolas Charbonnier,sailing,bronze,male
81908,Olivier Bausset,sailing,bronze,male
81947,Paul Goodison,sailing,gold,male
82036,Robert Scheidt,sailing,silver,male
82099,Santiago Lange,sailing,bronze,male
82130,Shahar Tzuberi,sailing,bronze,male
82282,Tom Ashley,sailing,gold,male
82321,Vasilij Žbogar,sailing,silver,male
82381,Xabier Fernández,sailing,silver,male
82454,Zach Railey,sailing,silver,male
82538,Alessandra Sensini,sailing,silver,female
82638,Anna Tunnicliffe,sailing,gold,female
82647,Annemieke Bes,sailing,silver,female
82745,Bryony Shaw,sailing,bronze,female
82958,Elise Rechichi,sailing,gold,female
83024,Fernanda Oliveira,sailing,bronze,female
83073,Gintarė Scheidt,sailing,silver,female
83203,Isabel Swan,sailing,bronze,female
83477,Lobke Berkhout,sailing,silver,female
83528,Mandy Mulder,sailing,silver,female
83540,Marcelien de Koning,sailing,silver,female
83632,Merel Witteveen,sailing,silver,female
83844,Pippa Wilson,sailing,gold,female
83979,Sarah Ayton,sailing,gold,female
83982,Sarah Webb,sailing,gold,female
84038,Sofia Bekatorou,sailing,bronze,female
84039,Sofia Papadopoulou,sailing,bronze,female
84127,Tessa Parkinson,sailing,gold,female
84218,Virginia Kravarioti,sailing,bronze,female
84263,Xu Lijia,sailing,bronze,female
84303,Yin Jian,sailing,gold,female
84379,Abhinav,shooting sport,gold,male
84407,Aleksei Alipov,shooting sport,bronze,male
84524,Anthony Terras,shooting sport,bronze,male
84538,Artur Ayvazyan,shooting sport,gold,male
84686,Christian Reitz,shooting sport,bronze,male
84749,David Kostelecký,shooting sport,gold,male
84909,Francesco D'Aniello,shooting sport,silver,male
84952,Giovanni Pellielo,shooting sport,silver,male
85011,Henri Häkkinen,shooting sport,bronze,male
85027,Hu Binyuan,shooting sport,bronze,male
85113,Jason Turner,shooting sport,bronze,male
85142,Jin Jong-oh,shooting sport,silver,male
85182,Jury Sukhorukov,shooting sport,silver,male
85474,Matthew Emmons,shooting sport,silver,male
85646,Oleksandr Petriv,shooting sport,gold,male
85681,Pang Wei,shooting sport,gold,male
85730,Qiu Jian,shooting sport,gold,male
85740,Rajmond Debevec,shooting sport,bronze,male
85742,Ralf Schumann,shooting sport,silver,male
85982,Tan Zongliang,shooting sport,silver,male
86047,Tore Brovold,shooting sport,silver,male
86088,Vincent Hancock,shooting sport,gold,male
86096,Vladimir Isakov,shooting sport,bronze,male
86103,Walton Eller,shooting sport,gold,male
86116,Warren Potent,shooting sport,bronze,male
86232,Zhu Qinan,shooting sport,silver,male
86541,Chen Ying,shooting sport,gold,female
86545,Chiara Cainero,shooting sport,gold,female
86572,Christine Wenzel,shooting sport,bronze,female
86586,Corey Cogdell,shooting sport,bronze,female
86674,Du Li,shooting sport,gold,female
86693,Eglis Yaima Cruz,shooting sport,bronze,female
86850,Guo Wenjun,shooting sport,gold,female
87080,Kateřina Emmons,shooting sport,gold,female
87124,Kim Rhode,shooting sport,silver,female
87219,Lioubov Galkina,shooting sport,silver,female
87437,Munkhbayar Dorjsuren,shooting sport,bronze,female
87452,Natalia Paderina,shooting sport,silver,female
87496,Nino Salukvadze,shooting sport,bronze,female
87544,Otryadyn Gündegmaa,shooting sport,silver,female
87737,Satu Mäkelä-Nummela,shooting sport,gold,female
87786,Snježana Pejčić,shooting sport,bronze,female
88113,Zuzana Rehák-Štefečeková,shooting sport,silver,female
88218,Andrea Duran,softball,silver,female
88297,Ayumi Karino,softball,gold,female
88314,Belinda Wright,softball,bronze,female
88377,Caitlin Lowe,softball,silver,female
88401,Cat Osterman,softball,silver,female
88464,Crystl Bustos,softball,silver,female
88479,Danielle Stewart,softball,bronze,female
88593,Emi Inui,softball,gold,female
88611,Eri Yamada,softball,gold,female
88767,Hiroko Sakai,softball,gold,female
88872,Jennie Finch,softball,silver,female
88882,Jessica Mendoza,softball,silver,female
88897,Jodie Bowering,softball,bronze,female
88934,Justine Smethurst,softball,bronze,female
88964,Kelly Hardie,softball,bronze,female
88965,Kelly Kretschman,softball,silver,female
88975,Kerry Wyborn,softball,bronze,female
89022,Kylie Cronk,softball,bronze,female
89032,Laura Berg,softball,silver,female
89038,Lauren Lappin,softball,silver,female
89110,Lovieanne Jung,softball,silver,female
89216,Masumi Mishina,softball,gold,female
89245,Megu Hirose,softball,gold,female
89251,Melanie Roche,softball,bronze,female
89282,Mika Someya,softball,gold,female
89303,Monica Abbott,softball,silver,female
89310,Motoko Fujimoto,softball,gold,female
89319,Naho Emoto,softball,gold,female
89333,Natalie Titcume,softball,bronze,female
89334,Natalie Ward,softball,bronze,female
89341,Natasha Watley,softball,silver,female
89511,Rei Nishiyama,softball,gold,female
89531,Rie Sato,softball,gold,female
89581,Sachiko Ito,softball,gold,female
89595,Sandy Lewis,softball,bronze,female
89610,Satoko Mabuchi,softball,gold,female
89651,Simmone Morrow,softball,bronze,female
89677,Stacey Nuveman,softball,silver,female
89678,Stacey Porter,softball,bronze,female
89720,Tairia Flowers,softball,silver,female
89737,Tanya Harding,softball,bronze,female
89799,Tracey Mosley,softball,bronze,female
89829,Vicky Galindo,softball,silver,female
89941,Yukiko Ueno,softball,gold,female
89942,Yukiyo Mine,softball,gold,female
90001,Aaron Peirsol,swimming,gold,male
90008,Adam Pine,swimming,silver,male
90018,Alain Bernard,swimming,bronze,male
90047,Alexander Dale Oen,swimming,silver,male
90051,Alexander Sukhorukov,swimming,silver,male
90075,Amaury Leveaux,swimming,silver,male
90109,Andrew Lauterstein,swimming,bronze,male
90157,Arkady Vyatchanin,swimming,bronze,male
90166,Ashley Callus,swimming,bronze,male
90167,Ashley Delaney,swimming,silver,male
90193,Ben Wildman-Tobriner,swimming,gold,male
90217,Boris Steimetz,swimming,silver,male
90223,Brendan Hansen,swimming,gold,male
90225,Brenton Rickard,swimming,silver,male
90312,Christian Sprenger,swimming,silver,male
90340,Cullen Jones,swimming,gold,male
90345,César Cielo,swimming,gold,male
90355,Danila Izotov,swimming,silver,male
90370,David Davies,swimming,silver,male
90381,David Walters,swimming,gold,male
90432,Eamon Sullivan,swimming,silver,male
90489,Erik Vendt,swimming,gold,male
90507,Fabien Gilot,swimming,silver,male
90543,Frédérick Bousquet,swimming,silver,male
90553,Garrett Weber-Gale,swimming,gold,male
90587,Grant Brits,swimming,bronze,male
90588,Grant Hackett,swimming,silver,male
90592,Grégory Mallet,swimming,silver,male
90621,Hayden Stoeckel,swimming,bronze,male
90644,Hisayoshi Sato,swimming,bronze,male
90657,Hugues Duboscq,swimming,bronze,male
90667,Ian Crocker,swimming,gold,male
90736,Jason Lezak,swimming,bronze,male
90805,Junichi Miyashita,swimming,bronze,male
90879,Kirk Palmer,swimming,bronze,male
90884,Klete Keller,swimming,gold,male
90889,Kosuke Kitajima,swimming,gold,male
90906,Larsen Jensen,swimming,bronze,male
90936,Leith Brodie,swimming,bronze,male
91009,László Cseh,swimming,silver,male
91014,Maarten van der Weijden,swimming,gold,male
91072,Mark Gangloff,swimming,gold,male
91092,Matt Grevers,swimming,silver,male
91096,Matt Targett,swimming,bronze,male
91142,Michael Phelps,swimming,gold,male
91165,Mikhail Polishchuk,swimming,silver,male
91167,Milorad Čavić,swimming,silver,male
91218,Nathan Adrian,swimming,gold,male
91226,Nick Ffrost,swimming,bronze,male
91240,Nikita Lobintsev,swimming,silver,male
91295,Oussama Mellouli,swimming,gold,male
91317,Park Tae-Hwan,swimming,silver,male
91319,Patrick Murphy,swimming,bronze,male
91336,Peter Vanderkaay,swimming,bronze,male
91404,Ricky Berens,swimming,gold,male
91448,Ryan Cochrane,swimming,bronze,male
91449,Ryan Lochte,swimming,gold,male
91597,Takeshi Matsuda,swimming,bronze,male
91598,Takuro Fujii,swimming,bronze,male
91639,Thomas Lurz,swimming,bronze,male
91801,Yevgeny Lagunov,swimming,silver,male
91831,Zhang Lin,swimming,silver,male
91914,Alessia Filippi,swimming,silver,female
91939,Alice Tait,swimming,bronze,female
91946,Allison Schmitt,swimming,bronze,female
92002,Angie Bainbridge,swimming,gold,female
92110,Britta Steffen,swimming,gold,female
92112,Bronte Barratt,swimming,gold,female
92144,Caroline Burckle,swimming,bronze,female
92150,Cassie Patten,swimming,bronze,female
92152,Cate Campbell,swimming,bronze,female
92194,Christine Magnuson,swimming,silver,female
92195,Christine Marshall,swimming,bronze,female
92236,Dara Torres,swimming,silver,female
92323,Elaine Breeden,swimming,silver,female
92348,Emily Seebohm,swimming,gold,female
92349,Emily Silver,swimming,silver,female
92389,Federica Pellegrini,swimming,gold,female
92392,Felicity Galvez,swimming,gold,female
92395,Femke Heemskerk,swimming,gold,female
92515,Hinkelien Schreuder,swimming,gold,female
92560,Inge Dekker,swimming,gold,female
92634,Jessicah Schipper,swimming,bronze,female
92639,Jiao Liuyang,swimming,silver,female
92646,Joanne Jackson,swimming,bronze,female
92674,Julia Smit,swimming,silver,female
92695,Kara Lynn Joyce,swimming,silver,female
92708,Katie Hoff,swimming,silver,female
92721,Keri-Anne Payne,swimming,silver,female
92750,Kim Vandenberg,swimming,bronze,female
92756,Kirsty Coventry,swimming,silver,female
92773,Kylie Palmer,swimming,gold,female
92778,Lacey Nymeyer,swimming,silver,female
92779,Lara Davenport,swimming,gold,female
92780,Larisa Ilchenko,swimming,gold,female
92810,Leisel Jones,swimming,gold,female
92830,Libby Trickett,swimming,silver,female
92837,Linda Mackenzie,swimming,gold,female
92850,Liu Zige,swimming,gold,female
92857,Lotte Friis,swimming,bronze,female
92904,Manon van Rooijen,swimming,gold,female
92922,Margaret Hoelzer,swimming,bronze,female
92952,Marleen Veldhuis,swimming,gold,female
92993,Megan Jendrick,swimming,silver,female
93002,Melanie Schlanger,swimming,bronze,female
93048,Mirna Jukić,swimming,bronze,female
93081,Natalie Coughlin,swimming,bronze,female
93180,Pang Jiaying,swimming,bronze,female
93249,Ranomi Kromowidjojo,swimming,gold,female
93255,Rebecca Adlington,swimming,gold,female
93258,Rebecca Soni,swimming,silver,female
93263,Reiko Nakamura,swimming,bronze,female
93352,Sara Isaković,swimming,silver,female
93353,Sara Nordenstam,swimming,bronze,female
93388,Shayne Reese,swimming,bronze,female
93438,Stephanie Rice,swimming,gold,female
93455,Sun Ye,swimming,bronze,female
93480,Tan Miao,swimming,silver,female
93485,Tang Jingzhi,swimming,silver,female
93489,Tarnee White,swimming,gold,female
93639,Xu Tianlongzi,swimming,bronze,female
93657,Yang Yu,swimming,silver,female
93720,Zhao Jing,swimming,bronze,female
93729,Zhou Yafei,swimming,bronze,female
93731,Zhu Qianwei,swimming,silver,female
93770,Alba Cabello,synchronized swimming,silver,female
93834,Anastasia Davydova,synchronized swimming,gold,female
93837,Anastasiya Yermakova,synchronized swimming,gold,female
93845,Andrea Fuentes,synchronized swimming,silver,female
93887,Anna Shorina,synchronized swimming,gold,female
94216,Elvira Khasyanova,synchronized swimming,gold,female
94219,Emiko Suzuki,synchronized swimming,bronze,female
94305,Gemma Mengual,synchronized swimming,silver,female
94328,Gisela Morón,synchronized swimming,silver,female
94343,Gu Beibei,synchronized swimming,bronze,female
94406,Huang Xuechen,synchronized swimming,bronze,female
94447,Irina Rodríguez,synchronized swimming,silver,female
94511,Jiang Tingting,synchronized swimming,bronze,female
94512,Jiang Wenwen,synchronized swimming,bronze,female
94659,Laura López,synchronized swimming,silver,female
94723,Liu Ou,synchronized swimming,bronze,female
94754,Luo Xi,synchronized swimming,bronze,female
94820,Mariya Gromova,synchronized swimming,gold,female
94951,Natalia Ishchenko,synchronized swimming,gold,female
95028,Olga Kuzhela,synchronized swimming,gold,female
95058,Paola Tirados,synchronized swimming,silver,female
95125,Raquel Corral,synchronized swimming,silver,female
95208,Saho Harada,synchronized swimming,bronze,female
95329,Sun Qiuting,synchronized swimming,bronze,female
95340,Svetlana Romashina,synchronized swimming,gold,female
95380,Thaïs Henríquez,synchronized swimming,silver,female
95486,Wang Na,synchronized swimming,bronze,female
95544,Yelena Ovchinnikova,synchronized swimming,gold,female
95588,Zhang Xiaohuan,synchronized swimming,bronze,female
95938,Christian Süß,table tennis,silver,male
96033,Dimitrij Ovtcharov,table tennis,silver,male
96636,Ma Lin,table tennis,gold,male
96887,Oh Sang-eun,table tennis,bronze,male
97077,Ryu Seung-min,table tennis,bronze,male
97275,Timo Boll,table tennis,silver,male
97356,Wang Hao,table tennis,silver,male
97360,Wang Liqin,table tennis,bronze,male
97434,Yoon Jae-Young,table tennis,bronze,male
97849,Dang Ye-seo,table tennis,bronze,female
98022,Feng Tianwei,table tennis,silver,female
98101,Guo Yue,table tennis,bronze,female
98370,Kim Kyungah,table tennis,bronze,female
98446,Li Jiawei,table tennis,silver,female
98815,Park Mi-Young,table tennis,bronze,female
99237,Wang Nan,table tennis,silver,female
99240,Wang Yuegu,table tennis,silver,female
99343,Zhang Yining,table tennis,gold,female
99430,Alexandros Nikolaidis,taekwondo,silver,male
99533,Arman Chilmanov,taekwondo,bronze,male
99654,Cha Dong-Min,taekwondo,gold,male
99673,Chika Chukwumerije,taekwondo,bronze,male
99701,Chu Mu-yen,taekwondo,bronze,male
99923,Gabriel Mercedes,taekwondo,silver,male
99971,Guillermo Pérez,taekwondo,gold,male
99985,Hadi Saei,taekwondo,gold,male
100450,Mark López,taekwondo,silver,male
100483,Mauro Sarmiento,taekwondo,silver,male
100798,Rohullah Nikpai,taekwondo,bronze,male
100879,Servet Tazegül,taekwondo,bronze,male
100918,Son Tae-jin,taekwondo,gold,male
100948,Steven López,taekwondo,bronze,male
100956,Sung Yu-chi,taekwondo,bronze,male
101230,Zhu Guo,taekwondo,bronze,male
101424,Azize Tanrıkulu,taekwondo,silver,female
101496,Buttree Puedpong,taekwondo,silver,female
101597,Dalia Contreras,taekwondo,bronze,female
101633,Daynellis Montejo,taekwondo,bronze,female
101648,Diana López,taekwondo,bronze,female
101855,Gwladys Épangue,taekwondo,bronze,female
101911,Hwang Kyung-Seon,taekwondo,gold,female
102075,Karine Sergerie,taekwondo,silver,female
102208,Lim Su-jeong,taekwondo,gold,female
102332,Martina Zubčić,taekwondo,bronze,female
102337,María Espinoza,taekwondo,gold,female
102471,Natália Falavigna,taekwondo,bronze,female
102495,Nina Solheim,taekwondo,silver,female
102718,Sandra Šarić,taekwondo,bronze,female
102731,Sarah Stevenson,taekwondo,bronze,female
103002,Wu Jingyu,taekwondo,gold,female
103338,Bob Bryan,tennis,bronze,male
103652,Fernando González,tennis,silver,male
104283,Mike Bryan,tennis,bronze,male
104382,Novak Djokovic,tennis,bronze,male
104485,Rafael Nadal,tennis,gold,male
104545,Roger Federer,tennis,gold,male
104652,Simon Aspelin,tennis,silver,male
104680,Stan Wawrinka,tennis,gold,male
104763,Thomas Johansson,tennis,silver,male
105082,Anabel Medina Garrigues,tennis,silver,female
105410,Dinara Safina,tennis,silver,female
105450,Elena Dementieva,tennis,gold,female
106496,Serena Williams,tennis,gold,female
106700,Venus Williams,tennis,gold,female
106701,Vera Zvonareva,tennis,bronze,female
106719,Virginia Ruano Pascual,tennis,silver,female
106774,Yan Zi,tennis,bronze,female
106848,Zheng Jie,tennis,bronze,female
107079,Bevan Docherty,triathlon,bronze,male
107596,Jan Frodeno,triathlon,gold,male
108403,Simon Whitfield,triathlon,silver,male
109227,Emma Moffatt,triathlon,bronze,female
109230,Emma Snowsill,triathlon,gold,female
110443,Vanessa Fernandes,triathlon,silver,female
111092,Emanuel Rego,beach volleyball,bronze,male
111171,Fábio Luiz Magalhães,beach volleyball,silver,male
111815,Márcio Araújo,beach volleyball,silver,male
111963,Phil Dalhausser,beach volleyball,gold,male
112022,Ricardo Santos,beach volleyball,bronze,male
112281,Todd Rogers,beach volleyball,gold,male
113347,Kerri Walsh Jennings,beach volleyball,gold,female
113675,Misty May-Treanor,beach volleyball,gold,female
114142,Tian Jia,beach volleyball,silver,female
114233,Wang Jie,beach volleyball,silver,female
114267,Xue Chen,beach volleyball,bronze,female
114336,Zhang Xi,beach volleyball,bronze,female
114403,Aleksandr Korneev,volleyball,bronze,male
114404,Aleksandr Kosarev,volleyball,bronze,male
114406,Aleksandr Volkov,volleyball,bronze,male
114409,Aleksey Kuleshov,volleyball,bronze,male
114410,Aleksey Ostapenko,volleyball,bronze,male
114411,Aleksey Verbov,volleyball,bronze,male
114466,Anderson Rodrigues,volleyball,silver,male
114494,André Heller,volleyball,silver,male
114495,André Nascimento,volleyball,silver,male
114616,Bruno Rezende,volleyball,silver,male
114704,Clayton Stanley,volleyball,gold,male
114732,Dante Amaral,volleyball,silver,male
114750,David Lee,volleyball,gold,male
114922,Gabriel Gardner,volleyball,gold,male
114945,Giba,volleyball,silver,male
114978,Gustavo Endres,volleyball,silver,male
115230,Kevin Hansen,volleyball,gold,male
115351,Lloy Ball,volleyball,gold,male
115416,Marcelo Elgarten,volleyball,silver,male
115487,Maxim Mikhaylov,volleyball,bronze,male
115564,Murilo Endres,volleyball,silver,male
115762,Reid Priddy,volleyball,gold,male
115774,Richard Lambourne,volleyball,gold,male
115782,Riley Salmon,volleyball,gold,male
115794,Rodrigão,volleyball,silver,male
115825,Ryan Millar,volleyball,gold,male
115838,Samuel Fuchs,volleyball,silver,male
115866,Scott Touzinsky,volleyball,gold,male
115867,Sean Rooney,volleyball,gold,male
115870,Semyon Poltavskiy,volleyball,bronze,male
115873,Sergey Grankin,volleyball,bronze,male
115874,Sergey Tetyukhin,volleyball,bronze,male
115969,Sérgio Santos,volleyball,silver,male
116012,Thomas Hoff,volleyball,gold,male
116062,Vadim Khamuttskikh,volleyball,bronze,male
116199,Yury Berezhko,volleyball,bronze,male
116518,Carolina Albuquerque,volleyball,gold,female
116603,Danielle Scott-Arruda,volleyball,silver,female
116754,Fabiana Claudino,volleyball,gold,female
116756,Fabiana de Oliveira,volleyball,gold,female
116771,Feng Kun,volleyball,bronze,female
116781,Fofão,volleyball,gold,female
116876,Heather Bown,volleyball,silver,female
116979,Jaqueline Carvalho,volleyball,gold,female
116998,Jennifer Joines,volleyball,silver,female
117115,Kim Glass,volleyball,silver,female
117126,Kim Willoughby,volleyball,silver,female
117197,Li Juan,volleyball,bronze,female
117215,Lindsey Berg,volleyball,silver,female
117224,Liu Yanan,volleyball,bronze,female
117228,Logan Tom,volleyball,silver,female
117263,Ma Yunwen,volleyball,bronze,female
117306,Marianne Steinbrecher,volleyball,gold,female
117484,Nicole Davis,volleyball,silver,female
117511,Ogonna Nnamani,volleyball,silver,female
117575,Paula Pequeno,volleyball,gold,female
117665,Robyn Ah Mow-Santos,volleyball,silver,female
117765,Sheilla Castro,volleyball,gold,female
117804,Stacy Sykora,volleyball,silver,female
117873,Tayyiba Haneef-Park,volleyball,silver,female
117879,Thaísa Menezes,volleyball,gold,female
117942,Valeska Menezes,volleyball,gold,female
117975,Walewska Oliveira,volleyball,gold,female
117989,Wang Yimei,volleyball,bronze,female
117992,Wei Qiuyue,volleyball,bronze,female
117994,Welissa Gonzaga,volleyball,gold,female
118016,Xu Yunli,volleyball,bronze,female
118019,Xue Ming,volleyball,bronze,female
118027,Yang Hao,volleyball,bronze,female
118082,Zhang Na,volleyball,bronze,female
118096,Zhao Ruirui,volleyball,bronze,female
118102,Zhou Suhong,volleyball,bronze,female
118136,Adam Wright,water polo,silver,male
118151,Aleksandar Ćirić,water polo,bronze,male
118152,Aleksandar Šapić,water polo,bronze,male
118241,Andrija Prlainović,water polo,bronze,male
118344,Brandon Brooks,water polo,silver,male
118346,Branko Peković,water polo,bronze,male
118513,Dejan Savić,water polo,bronze,male
118518,Denis Šefik,water polo,bronze,male
118551,Duško Pijetlović,water polo,bronze,male
118555,Dániel Varga,water polo,gold,male
118556,Dénes Varga,water polo,gold,male
118653,Filip Filipović,water polo,bronze,male
118688,Gergely Kiss,water polo,gold,male
118732,Gábor Kis,water polo,gold,male
118832,István Gergely,water polo,gold,male
118834,J. W. Krumpholz,water polo,silver,male
118867,Jeff Powers,water polo,silver,male
118881,Jesse Smith,water polo,silver,male
119041,Layne Beaubien,water polo,silver,male
119258,Merrill Moses,water polo,silver,male
119369,Nikola Rađen,water polo,bronze,male
119376,Norbert Hosnyánszky,water polo,gold,male
119377,Norbert Madaras,water polo,gold,male
119458,Peter Hudnut,water polo,silver,male
119462,Peter Varellas,water polo,silver,male
119477,Péter Biros,water polo,gold,male
119528,Rick Merlo,water polo,silver,male
119572,Ryan Bailey,water polo,silver,male
119660,Slobodan Soro,water polo,bronze,male
119727,Tamás Kásás,water polo,gold,male
119728,Tamás Molnár,water polo,gold,male
119729,Tamás Varga,water polo,gold,male
119768,Tibor Benedek,water polo,gold,male
119772,Tim Hutten,water polo,silver,male
119794,Tony Azevedo,water polo,silver,male
119819,Vanja Udovičić,water polo,bronze,male
119847,Vladimir Vujasinović,water polo,bronze,male
119985,Zoltán Szécsi,water polo,gold,male
119999,Živko Gocić,water polo,bronze,male
120040,Alette Sijbring,water polo,gold,female
120065,Alicia McCormack,water polo,bronze,female
120069,Alison Gregorka,water polo,silver,female
120077,Amy Hetzel,water polo,bronze,female
120207,Biurakn Hakhverdian,water polo,gold,female
120222,Brenda Villa,water polo,silver,female
120236,Brittany Hayes,water polo,silver,female
120238,Bronwen Knox,water polo,bronze,female
120356,Daniëlle de Bruijn,water polo,gold,female
120460,Elizabeth Armstrong,water polo,silver,female
120465,Elsie Windes,water polo,silver,female
120476,Emma Knox,water polo,bronze,female
120554,Gemma Beadsworth,water polo,bronze,female
120571,Gillian van den Berg,water polo,gold,female
120630,Heather Petri,water polo,silver,female
120671,Iefke van Belkum,water polo,gold,female
120680,Ilse van der Meijden,water polo,gold,female
120713,Jaime Komer,water polo,silver,female
120745,Jenna Santoromito,water polo,bronze,female
120758,Jessica Steffens,water polo,silver,female
120814,Kami Craig,water polo,silver,female
120828,Kate Gynther,water polo,bronze,female
120914,Lauren Wenger,water polo,silver,female
121060,Marieke van den Ham,water polo,gold,female
121122,Meike de Nooy,water polo,gold,female
121128,Melissa Rippon,water polo,bronze,female
121135,Mia Santoromito,water polo,bronze,female
121153,Mieke Cabout,water polo,gold,female
121182,Moriah van Norman,water polo,silver,female
121207,Natalie Golda,water polo,silver,female
121239,Nikita Cuffe,water polo,bronze,female
121249,Noeki Klein,water polo,gold,female
121320,Patty Cardenas,water polo,silver,female
121381,Rebecca Rippon,water polo,bronze,female
121396,Rianne Guichelaar,water polo,gold,female
121531,Simone Koot,water polo,gold,female
121584,Suzie Fraser,water polo,bronze,female
121611,Taniele Gofers,water polo,bronze,female
121786,Yasemin Smit,water polo,gold,female
121978,Andrei Aramnau,weightlifting,gold,male
122037,Arsen Kasabiev,weightlifting,silver,male
122282,Diego Salazar,weightlifting,silver,male
122290,Dmitry Klokov,weightlifting,silver,male
122322,Eko Irawan,weightlifting,bronze,male
122374,Evgeny Chigishev,weightlifting,silver,male
122442,Gevorg Davtyan,weightlifting,bronze,male
122520,Hoang Anh Tuan,weightlifting,silver,male
122587,Jadier Valladares,weightlifting,bronze,male
122819,Li Hongli,weightlifting,silver,male
122829,Liao Hui,weightlifting,gold,male
122855,Long Qingquan,weightlifting,gold,male
122863,Lu Yong,weightlifting,gold,male
122917,Marcin Dołęga,weightlifting,bronze,male
122979,Matthias Steiner,weightlifting,gold,male
123329,Sa Jae-Hyouk,weightlifting,gold,male
123468,Szymon Kołecki,weightlifting,gold,male
123520,Tigran Vardan Martirosyan,weightlifting,silver,male
123553,Triyatno,weightlifting,bronze,male
123574,Vencelas Dabaya,weightlifting,silver,male
123587,Viktors Ščerbatihs,weightlifting,bronze,male
123680,Yoandry Hernández,weightlifting,bronze,male
123688,Yordanis Borrero,weightlifting,bronze,male
123712,Zhang Xiangxiang,weightlifting,gold,male
123753,Abeer Abdelrahman,weightlifting,bronze,female
123820,Alla Vazhenina,weightlifting,gold,female
124038,Chen Wei-ling,weightlifting,gold,female
124039,Chen Yanqing,weightlifting,gold,female
124068,Christine Girard,weightlifting,bronze,female
124098,Damaris Gabriela Aguirre Aldaz,weightlifting,bronze,female
124199,Ele Opeloge,weightlifting,silver,female
124433,Im Jyoung-Hwa,weightlifting,silver,female
124475,Jang Mi-ran,weightlifting,gold,female
124693,Leydi Solís,weightlifting,silver,female
124737,Lu Ying-chi,weightlifting,silver,female
124756,Lydia Valentín,weightlifting,silver,female
124803,Mariam Usman,weightlifting,bronze,female
125010,O Jong-ae,weightlifting,silver,female
125017,Oksana Slivenko,weightlifting,gold,female
125052,Pak Hyon-suk,weightlifting,gold,female
125080,Pensiri Laosirikul,weightlifting,bronze,female
125097,Prapawadee Jaroenrattanatarakoon,weightlifting,gold,female
125109,Raema Lisa Rumbewas,weightlifting,bronze,female
125479,Wandee Kameaim,weightlifting,bronze,female
125560,Yoon Jin-Hee,weightlifting,silver,female
125742,Andriy Stadnik,freestyle wrestling,silver,male
